Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,64,235,16018,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,65,233,22885,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,66,231,452,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,67,231,13377,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,68,231,5169,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),69,230,19255,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,70,230,112087,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,71,229,133384,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,SB-ROCKET-1TB,Sabrent,Rocket NVMe PCIe M.2 1TB,72,226,846,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,73,225,1955,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,74,223,7363,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,MZ-V5P512BW,Samsung,950 NVMe PCIe M.2 512GB,75,222,47099,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,CT1000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 1TB,76,222,6649,https://ssd.userbenchmark.com/SpeedTest/1312497/CT1000P2SSD8
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,77,219,26418,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,78,216,57963,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,ASX8200PNP-256GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 256GB,79,215,27046,https://ssd.userbenchmark.com/SpeedTest/636955/ADATA-SX8200PNP
SSD,MZ-V6E500BW,Samsung,960 Evo NVMe PCIe M.2 500GB,80,213,138264,https://ssd.userbenchmark.com/SpeedTest/204072/Samsung-SSD-960-EVO-500GB
SSD,SSDPE2MD400G401,Intel,DC P3700 Series NVMe PCIe 400GB,81,208,56,https://ssd.userbenchmark.com/SpeedTest/16595/NVMe-INTEL-SSDPEDMD40
SSD,WDS500G2B0C,WD,Blue SN550 NVMe PCIe M.2 500GB,82,207,50416,https://ssd.userbenchmark.com/SpeedTest/998114/WDC-WDS500G2B0C-00PXH0
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,83,204,1840,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,MZ-V8V250B,Samsung,980 NVMe PCIe M.2 250GB,84,204,144,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,WDS250G3X0C,WD,Black SN750 NVMe PCIe M.2 250GB (2019),85,201,10099,https://ssd.userbenchmark.com/SpeedTest/716792/WDS250G3X0C-00SJG0
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,86,200,131677,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,MZ-V5P256BW,Samsung,950 NVMe PCIe M.2 256GB,87,200,37853,https://ssd.userbenchmark.com/SpeedTest/38570/NVMe-Samsung-SSD-950
SSD,MZVPV512HDGL-00000,Samsung,SM951 NVMe PCIe M.2 512GB,88,200,8398,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-SAMSUNG-MZVKV512
SSD,,Samsung,PM961 NVMe PCIe M.2 512GB,89,199,31897,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,90,196,7627,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,PX-512M8PeG,Plextor,M8Pe NVMe PCIe M.2 512GB,91,196,2442,https://ssd.userbenchmark.com/SpeedTest/169863/PLEXTOR-PX-512M8PeG
SSD,CSSD-F480GBMP510,Corsair,Force NVMe PCIe M.2 480GB,92,195,25164,https://ssd.userbenchmark.com/SpeedTest/626885/Force-MP510
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,93,194,353,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,MZ-V6E250BW,Samsung,960 Evo NVMe PCIe M.2 250GB,94,194,224761,https://ssd.userbenchmark.com/SpeedTest/200373/Samsung-SSD-960-EVO-250GB
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,95,191,95,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,ASX6000PNP-1TT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 1TB,96,191,5166,https://ssd.userbenchmark.com/SpeedTest/664077/ADATA-SX6000PNP
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,97,190,8102,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,97,190,8102,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,98,190,14088,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,99,189,11494,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,CT500P2SSD8,Crucial,P2 3D NVMe PCIe M.2 500GB,100,189,15608,https://ssd.userbenchmark.com/SpeedTest/1110621/CT500P2SSD8
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,101,188,217,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),102,188,7982,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,103,187,6879,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,,Intel,Optane+ NVMe PCIe 500GB,104,187,1390,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,105,186,16990,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,106,184,62615,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,107,184,881,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,108,183,6858,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,109,183,417,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,110,183,5086,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,,Intel,Optane+ NVMe PCIe 128GB,111,183,200,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,112,183,105,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,113,181,72225,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,114,175,2245,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,115,175,3114,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,CT250P2SSD8,Crucial,P2 3D NVMe PCIe M.2 250GB,116,173,1854,https://ssd.userbenchmark.com/SpeedTest/1121042/CT250P2SSD8
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,117,172,266,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,118,172,8200,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,119,172,6448,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,120,172,10345,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,WDS250G2B0C,WD,Blue SN550 NVMe PCIe M.2 250GB,121,171,7793,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,122,167,1518,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,123,166,1942,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,124,166,9680,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,125,165,2493,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,126,163,895,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,127,163,8437,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,128,162,3253,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,,Apple,SM0512G PCIe 500GB,129,161,1067,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,130,160,1946,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,131,160,22099,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,132,159,148,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,133,158,10745,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,134,158,40,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,135,157,1415,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,136,157,119484,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,137,157,6782,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,138,156,2114,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,139,156,8201,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,140,153,750,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,141,152,2212,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,142,152,1387,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,143,151,9873,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,144,151,1128,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,145,149,149,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,,Apple,SM0256G PCIe 251GB,146,148,757,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,147,148,10597,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
